material,temperature,ph,co2_pressure,h2s_concentration,flow_rate,chloride_content,corrosion_rate,risk_level
super_13cr,65.3,4.66,3.284,211.0,2.62,13597.0,0.1019,medium
13cr,72.4,6.93,0.895,147.5,7.63,34618.0,0.0945,low
13cr,64.1,6.97,2.73,243.0,4.86,13203.0,0.0952,low
alloy_c276,60.1,7.53,4.924,288.6,3.77,46953.0,0.0037,low
stainless_316,76.0,4.22,4.688,21.9,4.85,31819.0,0.3744,medium
titanium,35.5,7.44,0.225,61.5,4.38,16226.0,0.001,low
alloy_625,38.2,8.5,0.832,279.3,6.19,13476.0,0.0014,low
carbon_steel,106.2,4.49,0.667,171.6,2.62,9546.0,2.6695,severe
carbon_steel,114.6,4.81,3.633,364.6,3.15,34732.0,10.0,severe
carbon_steel,57.3,8.84,4.091,326.1,7.21,10936.0,0.8513,high
carbon_steel,47.1,4.5,1.075,422.8,7.6,29765.0,0.5691,high
carbon_steel,84.4,8.2,2.534,346.2,7.19,13232.0,1.9619,severe
duplex_2205,60.9,6.21,4.205,215.0,3.65,33098.0,0.0389,low
carbon_steel,22.5,4.86,3.667,336.5,6.35,40747.0,0.3418,medium
stainless_316,35.6,8.29,2.716,137.7,4.07,38901.0,0.0201,low
alloy_825,91.6,5.95,2.956,153.2,4.23,38043.0,0.0548,low
carbon_steel,85.9,6.33,2.547,394.5,2.04,9386.0,1.6106,severe
alloy_825,22.7,5.48,1.495,223.2,4.93,4419.0,0.0029,low
carbon_steel,42.2,6.76,2.829,399.2,1.9,34947.0,0.2472,medium
carbon_steel,43.1,4.4,3.448,411.2,2.99,18417.0,0.6881,high
duplex_2205,87.2,5.65,4.368,428.8,6.91,21617.0,0.253,medium
super_13cr,22.0,8.83,3.185,458.3,2.05,1557.0,0.0096,low
alloy_625,30.4,4.92,3.808,215.5,1.03,12979.0,0.0029,low
duplex_2507,100.0,7.11,0.809,159.4,1.02,1684.0,0.0281,low
alloy_825,37.9,5.29,2.313,291.1,7.56,43959.0,0.0144,low
carbon_steel,85.3,7.75,0.057,185.6,4.3,12170.0,0.1343,medium
carbon_steel,43.8,4.22,1.241,300.5,3.57,27867.0,0.4196,medium
duplex_2507,29.9,8.83,3.635,352.8,6.58,1949.0,0.0066,low
alloy_825,44.3,6.0,4.959,344.2,6.77,33342.0,0.0157,low
titanium,92.2,4.8,0.505,187.3,2.99,16151.0,0.0015,low
stainless_316,105.6,3.9,2.013,83.4,5.7,44896.0,0.9711,high
stainless_316,103.0,4.43,4.002,215.3,6.28,44406.0,1.4036,severe
duplex_2507,59.7,6.36,1.028,71.3,5.41,16265.0,0.0069,low
stainless_316,86.8,5.35,2.78,445.0,1.64,45048.0,0.3011,medium
alloy_c276,40.5,8.06,3.668,172.9,7.07,49808.0,0.0025,low
alloy_625,49.3,5.87,3.084,77.2,4.54,41271.0,0.0039,low
stainless_316,109.6,4.87,0.948,12.7,2.62,42244.0,0.3562,medium
duplex_2507,21.3,6.89,1.783,322.9,3.69,12450.0,0.002,low
duplex_2507,28.6,7.39,3.921,318.5,0.78,28835.0,0.0049,low
carbon_steel,40.8,4.42,2.776,170.3,1.46,3363.0,0.4402,medium
alloy_625,22.7,4.42,0.036,35.9,6.24,4746.0,0.001,low
13cr,38.1,3.7,3.807,204.8,0.5,49945.0,0.1273,medium
alloy_825,78.3,7.55,0.186,155.6,3.62,16332.0,0.0042,low
stainless_316,62.1,7.15,3.731,338.6,4.42,37409.0,0.092,low
alloy_625,109.3,6.11,1.02,302.9,0.91,40333.0,0.0204,low
stainless_316,101.7,8.14,4.791,182.3,7.8,42901.0,0.7197,high
carbon_steel,54.2,7.93,1.846,108.9,2.2,49881.0,0.2721,medium
alloy_625,45.9,6.72,1.641,494.0,2.78,12075.0,0.0021,low
carbon_steel,58.0,8.28,0.753,227.0,2.78,2018.0,0.1543,medium
stainless_316,79.0,4.63,1.535,344.1,2.23,20560.0,0.1414,medium
alloy_c276,46.8,4.12,4.384,70.3,0.51,6504.0,0.0038,low
alloy_c276,82.4,4.98,4.982,242.8,5.97,1121.0,0.0196,low
super_13cr,60.9,3.81,1.848,13.8,7.75,18021.0,0.1277,medium
super_13cr,75.2,6.42,2.249,252.7,2.18,39187.0,0.0746,low
stainless_316,63.6,8.65,3.613,482.0,5.47,28309.0,0.0997,low
carbon_steel,49.4,3.72,4.432,192.1,6.06,15639.0,1.7789,severe
stainless_316,114.8,4.17,2.969,19.5,6.86,32717.0,1.5787,severe
duplex_2205,96.4,5.99,1.964,15.5,3.67,11601.0,0.0888,low
duplex_2507,34.0,8.64,2.069,194.0,2.77,719.0,0.0034,low
alloy_825,106.8,5.24,3.481,80.0,2.94,38218.0,0.172,medium
duplex_2507,68.7,6.29,0.026,11.7,5.84,31187.0,0.001,low
carbon_steel,109.5,3.73,3.102,378.1,6.63,38115.0,10.0,severe
13cr,100.0,4.32,1.784,229.3,1.86,1947.0,0.5812,high
carbon_steel,62.5,8.93,3.973,144.6,3.28,41856.0,0.8017,high
13cr,22.2,8.81,0.474,450.0,7.26,30976.0,0.0074,low
stainless_316,46.9,3.53,2.945,58.1,6.55,28170.0,0.1271,medium
alloy_625,74.2,8.73,2.41,478.0,7.89,31231.0,0.0172,low
stainless_316,83.3,7.02,3.215,157.0,6.16,43222.0,0.2367,medium
carbon_steel,45.8,8.27,0.334,444.2,3.45,29347.0,0.07,low
carbon_steel,33.9,6.0,2.904,301.5,4.93,29048.0,0.2661,medium
duplex_2507,103.5,6.34,2.812,413.4,5.46,49534.0,0.1108,medium
super_13cr,118.4,6.19,2.808,492.0,1.09,37837.0,0.4695,medium
carbon_steel,72.6,7.17,3.021,144.2,4.58,22115.0,0.9509,high
carbon_steel,37.2,4.27,3.386,480.6,5.82,35370.0,0.8245,high
duplex_2205,47.2,3.66,4.027,194.7,1.75,19462.0,0.0514,low
carbon_steel,21.8,5.19,1.356,192.8,6.35,11444.0,0.1381,medium
alloy_825,111.4,7.38,4.127,170.2,4.88,29843.0,0.1462,medium
duplex_2205,31.8,4.61,2.496,270.7,7.64,46409.0,0.0254,low
carbon_steel,77.7,7.2,0.395,77.1,0.82,46457.0,0.2752,medium
carbon_steel,47.4,8.83,0.302,276.9,2.49,17095.0,0.0699,low
titanium,75.4,4.02,1.678,270.9,5.01,26384.0,0.0033,low
stainless_316,85.1,7.2,3.927,381.0,2.72,10582.0,0.1637,medium
stainless_316,103.0,5.94,3.541,416.8,5.86,49782.0,0.5952,high
alloy_825,40.6,8.27,3.945,220.2,6.19,49056.0,0.0099,low
alloy_c276,21.1,4.47,2.591,151.2,1.27,32475.0,0.001,low
titanium,33.7,7.31,2.207,129.7,4.35,40221.0,0.001,low
duplex_2507,110.0,8.11,0.746,97.3,4.32,35755.0,0.0465,low
stainless_316,107.4,8.7,1.648,28.8,3.27,29658.0,0.2052,medium
carbon_steel,79.7,7.26,2.176,171.2,7.5,2667.0,1.3427,severe
duplex_2507,80.1,6.23,0.452,135.1,6.71,22738.0,0.0109,low
13cr,86.5,6.9,1.111,483.2,5.73,33739.0,0.2258,medium
stainless_316,37.5,8.28,2.995,278.9,5.86,33877.0,0.0355,low
alloy_625,111.4,6.64,3.681,173.6,3.96,18656.0,0.0462,low
carbon_steel,61.9,3.67,4.992,290.2,7.41,47085.0,3.6434,severe
13cr,58.3,8.62,4.666,69.6,5.71,8368.0,0.1233,medium
carbon_steel,71.9,7.29,3.216,222.0,5.97,25018.0,1.4559,severe
13cr,24.7,7.22,2.112,313.1,6.96,34544.0,0.0237,low
carbon_steel,36.6,4.69,3.185,244.4,2.56,34857.0,0.3816,medium
carbon_steel,93.8,7.12,3.93,200.9,6.55,32432.0,3.4666,severe
carbon_steel,28.3,5.67,0.6,496.9,1.96,13764.0,0.0671,low
super_13cr,80.3,7.08,2.055,440.2,3.09,7810.0,0.074,low
duplex_2507,44.5,4.09,4.201,311.7,3.02,31797.0,0.0198,low
super_13cr,58.9,7.12,1.925,284.7,7.84,29965.0,0.048,low
titanium,48.9,9.0,2.864,310.3,6.92,8968.0,0.001,low
stainless_316,55.6,3.77,2.943,100.7,5.76,35257.0,0.1683,medium
carbon_steel,91.9,8.87,0.931,197.6,5.95,22759.0,1.2149,severe
alloy_625,49.7,5.74,1.818,19.7,4.72,33388.0,0.0028,low
carbon_steel,76.6,8.29,1.679,237.8,7.6,41868.0,1.3288,severe
titanium,67.6,7.8,0.141,271.5,4.22,8486.0,0.001,low
carbon_steel,86.4,6.62,0.131,113.9,3.35,957.0,0.2027,medium
titanium,113.7,7.56,4.16,482.0,1.72,38955.0,0.0085,low
carbon_steel,93.3,8.33,1.373,454.7,6.4,30485.0,2.0155,severe
alloy_625,41.5,5.72,2.595,361.1,6.01,34982.0,0.0046,low
13cr,23.1,5.3,1.501,266.7,3.38,41908.0,0.0174,low
titanium,46.2,7.17,4.704,435.0,0.69,40141.0,0.001,low
carbon_steel,79.5,7.94,1.304,65.3,6.79,48046.0,1.0275,severe
13cr,25.1,7.69,2.154,395.3,0.59,26797.0,0.0162,low
titanium,69.6,7.89,4.365,62.4,5.78,24425.0,0.0014,low
13cr,79.7,5.9,4.211,397.1,7.78,20094.0,0.443,medium
super_13cr,53.4,8.0,0.939,137.9,3.78,7685.0,0.0144,low
duplex_2205,97.1,4.16,4.015,438.5,2.26,28630.0,0.4536,medium
13cr,30.7,6.49,2.296,472.0,5.79,13851.0,0.0272,low
super_13cr,27.5,3.53,2.42,74.4,6.63,46065.0,0.0364,low
super_13cr,92.8,5.29,0.676,231.3,4.6,29160.0,0.1248,medium
alloy_625,69.5,5.52,0.412,490.5,7.75,29642.0,0.0063,low
carbon_steel,88.8,5.68,3.642,241.7,0.89,17746.0,2.1885,severe
carbon_steel,63.5,7.33,2.487,431.8,4.29,2599.0,0.6052,high
alloy_c276,44.6,5.64,2.19,294.4,5.89,1587.0,0.0018,low
alloy_625,101.9,5.97,3.65,187.7,6.97,21167.0,0.059,low
13cr,99.9,4.81,3.83,142.9,1.84,4228.0,0.7307,high
super_13cr,89.5,5.55,0.803,101.6,6.5,30342.0,0.1016,medium
carbon_steel,47.2,4.75,3.055,380.9,4.65,44049.0,0.9446,high
carbon_steel,79.0,3.9,0.685,193.3,3.47,44146.0,1.1393,severe
13cr,56.1,6.82,3.759,255.6,1.49,32952.0,0.0762,low
stainless_316,29.2,7.18,3.288,246.2,6.99,10562.0,0.0231,low
super_13cr,111.7,6.91,4.784,288.6,1.68,43150.0,0.4505,medium
carbon_steel,33.7,6.05,0.354,432.8,2.82,44305.0,0.048,low
titanium,115.0,5.59,0.295,490.4,2.68,9833.0,0.0018,low
titanium,64.6,8.25,1.418,203.8,7.04,36871.0,0.001,low
